========================
PROJECT 3 — LOAD BALANCER LOG
========================
Servers (start): 10
Clock cycles: 10000
TASK TIME RANGE (required): [MIN=5, MAX=40] cycles

Scaling policy:
  Lower threshold = 50 * active_servers
  Upper threshold = 80 * active_servers
  Rest window after scaling (n): 25 cycles

Request arrival model:
  Arrival chance per cycle: 0.3
  Batch size per arrival: 1 to 2
  Initial fill rule: servers * 100

Firewall / IP blocker:
  Blocked ranges: 192.168.10., 10.10.
  Rejection action: discard + log
========================
[INFO] Starting queue size (required): 1000 (seeded from servers * 100)
[SCALE_UP] t=00001 SCALE_UP to 11 | queue=990 (above 80*servers)
[ARRIVAL] t=00143 ARRIVAL +1 | queue=996 | rejected_total=0
[ARRIVAL] t=00144 ARRIVAL +2 | queue=998 | rejected_total=0
[ARRIVAL] t=00148 ARRIVAL +1 | queue=995 | rejected_total=0
[ARRIVAL] t=00150 ARRIVAL +2 | queue=996 | rejected_total=0
[ARRIVAL] t=00151 ARRIVAL +1 | queue=997 | rejected_total=0
[ARRIVAL] t=00152 ARRIVAL +1 | queue=998 | rejected_total=0
[ARRIVAL] t=00155 ARRIVAL +2 | queue=998 | rejected_total=0
[ARRIVAL] t=00159 ARRIVAL +1 | queue=993 | rejected_total=0
[ARRIVAL] t=00161 ARRIVAL +1 | queue=994 | rejected_total=0
[ARRIVAL] t=00172 ARRIVAL +2 | queue=988 | rejected_total=0
[ARRIVAL] t=00175 ARRIVAL +2 | queue=990 | rejected_total=0
[ARRIVAL] t=00176 ARRIVAL +2 | queue=992 | rejected_total=0
[ARRIVAL] t=00178 ARRIVAL +2 | queue=992 | rejected_total=0
[ARRIVAL] t=00180 ARRIVAL +1 | queue=993 | rejected_total=0
[ARRIVAL] t=00183 ARRIVAL +2 | queue=991 | rejected_total=0
[ARRIVAL] t=00184 ARRIVAL +1 | queue=992 | rejected_total=0
[ARRIVAL] t=00187 ARRIVAL +1 | queue=990 | rejected_total=0
[ARRIVAL] t=00190 ARRIVAL +1 | queue=990 | rejected_total=0
[ARRIVAL] t=00196 ARRIVAL +2 | queue=989 | rejected_total=0
[ARRIVAL] t=00199 ARRIVAL +2 | queue=989 | rejected_total=0
[COMPLETE] t=00200 COMPLETE server=3 | completed=100
[COMPLETE] t=00200 COMPLETE server=10 | completed=101
[ASSIGN] t=00200 ASSIGN server=3 job=S time=5 | queue=988
[ASSIGN] t=00200 ASSIGN server=10 job=S time=5 | queue=987
[HEARTBEAT] t=00200 queue=987 servers=13 busy=13 completed=101 rejected=0
[ARRIVAL] t=00203 ARRIVAL +2 | queue=988 | rejected_total=0
[ARRIVAL] t=00204 ARRIVAL +2 | queue=989 | rejected_total=0
[ARRIVAL] t=00205 ARRIVAL +1 | queue=988 | rejected_total=0
[ARRIVAL] t=00206 ARRIVAL +1 | queue=988 | rejected_total=0
[ARRIVAL] t=00214 ARRIVAL +2 | queue=985 | rejected_total=0
[ARRIVAL] t=00216 ARRIVAL +1 | queue=984 | rejected_total=0
[ARRIVAL] t=00217 ARRIVAL +1 | queue=985 | rejected_total=0
[ARRIVAL] t=00218 ARRIVAL +2 | queue=987 | rejected_total=0
[ARRIVAL] t=00219 ARRIVAL +1 | queue=987 | rejected_total=0
[ARRIVAL] t=00220 ARRIVAL +2 | queue=988 | rejected_total=0
[ARRIVAL] t=00222 ARRIVAL +2 | queue=987 | rejected_total=0
[ARRIVAL] t=00228 ARRIVAL +2 | queue=987 | rejected_total=0
[ARRIVAL] t=00229 ARRIVAL +2 | queue=989 | rejected_total=0
[ARRIVAL] t=00232 ARRIVAL +1 | queue=988 | rejected_total=0
[ARRIVAL] t=00233 ARRIVAL +1 | queue=989 | rejected_total=0
[ARRIVAL] t=00235 ARRIVAL +1 | queue=988 | rejected_total=0
[ARRIVAL] t=00240 ARRIVAL +1 | queue=986 | rejected_total=0
[ARRIVAL] t=00246 ARRIVAL +2 | queue=983 | rejected_total=0
[ARRIVAL] t=00247 ARRIVAL +1 | queue=984 | rejected_total=0
[ARRIVAL] t=00251 ARRIVAL +1 | queue=984 | rejected_total=0
[ARRIVAL] t=00256 ARRIVAL +1 | queue=981 | rejected_total=0
[ARRIVAL] t=00259 ARRIVAL +1 | queue=980 | rejected_total=0
[ARRIVAL] t=00263 ARRIVAL +1 | queue=977 | rejected_total=0
[ARRIVAL] t=00264 ARRIVAL +2 | queue=978 | rejected_total=0
[ARRIVAL] t=00266 ARRIVAL +1 | queue=978 | rejected_total=0
[ARRIVAL] t=00270 ARRIVAL +2 | queue=979 | rejected_total=0
[ARRIVAL] t=00271 ARRIVAL +2 | queue=981 | rejected_total=0
[ARRIVAL] t=00272 ARRIVAL +1 | queue=982 | rejected_total=0
[ARRIVAL] t=00274 ARRIVAL +2 | queue=982 | rejected_total=0
[ARRIVAL] t=00275 ARRIVAL +2 | queue=984 | rejected_total=0
[ARRIVAL] t=00279 ARRIVAL +2 | queue=982 | rejected_total=0
[ARRIVAL] t=00280 ARRIVAL +2 | queue=984 | rejected_total=0
[ARRIVAL] t=00283 ARRIVAL +1 | queue=982 | rejected_total=0
[ARRIVAL] t=00284 ARRIVAL +2 | queue=982 | rejected_total=0
[ARRIVAL] t=00290 ARRIVAL +1 | queue=982 | rejected_total=0
[ARRIVAL] t=00291 ARRIVAL +1 | queue=983 | rejected_total=0
[ARRIVAL] t=00292 ARRIVAL +2 | queue=985 | rejected_total=0
[ARRIVAL] t=00298 ARRIVAL +2 | queue=985 | rejected_total=0
[COMPLETE] t=00300 COMPLETE server=6 | completed=162
[ASSIGN] t=00300 ASSIGN server=6 job=S time=11 | queue=983
[ARRIVAL] t=00300 ARRIVAL +1 | queue=984 | rejected_total=0
[HEARTBEAT] t=00300 queue=984 servers=13 busy=13 completed=162 rejected=0
[ARRIVAL] t=00302 ARRIVAL +1 | queue=984 | rejected_total=0
[ARRIVAL] t=00307 ARRIVAL +2 | queue=983 | rejected_total=0
[ARRIVAL] t=00310 ARRIVAL +2 | queue=981 | rejected_total=0
[ARRIVAL] t=00311 ARRIVAL +1 | queue=981 | rejected_total=0
[ARRIVAL] t=00322 ARRIVAL +2 | queue=975 | rejected_total=0
[ARRIVAL] t=00323 ARRIVAL +2 | queue=975 | rejected_total=0
[ARRIVAL] t=00324 ARRIVAL +2 | queue=976 | rejected_total=0
[ARRIVAL] t=00325 ARRIVAL +2 | queue=978 | rejected_total=0
[ARRIVAL] t=00326 ARRIVAL +1 | queue=979 | rejected_total=0
[ARRIVAL] t=00331 ARRIVAL +2 | queue=980 | rejected_total=0
[ARRIVAL] t=00333 ARRIVAL +1 | queue=980 | rejected_total=0
[ARRIVAL] t=00334 ARRIVAL +1 | queue=979 | rejected_total=0
[ARRIVAL] t=00337 ARRIVAL +2 | queue=980 | rejected_total=0
[ARRIVAL] t=00339 ARRIVAL +1 | queue=981 | rejected_total=0
[ARRIVAL] t=00341 ARRIVAL +1 | queue=979 | rejected_total=0
[ARRIVAL] t=00344 ARRIVAL +2 | queue=981 | rejected_total=0
[ARRIVAL] t=00345 ARRIVAL +2 | queue=983 | rejected_total=0
[ARRIVAL] t=00347 ARRIVAL +1 | queue=982 | rejected_total=0
[ARRIVAL] t=00349 ARRIVAL +2 | queue=983 | rejected_total=0
[ARRIVAL] t=00355 ARRIVAL +1 | queue=979 | rejected_total=0
[ARRIVAL] t=00356 ARRIVAL +1 | queue=978 | rejected_total=0
[ARRIVAL] t=00363 ARRIVAL +1 | queue=974 | rejected_total=0
[ARRIVAL] t=00364 ARRIVAL +1 | queue=974 | rejected_total=0
[ARRIVAL] t=00370 ARRIVAL +1 | queue=972 | rejected_total=0
[ARRIVAL] t=00371 ARRIVAL +1 | queue=973 | rejected_total=0
[ARRIVAL] t=00372 ARRIVAL +1 | queue=973 | rejected_total=0
[ARRIVAL] t=00375 ARRIVAL +1 | queue=972 | rejected_total=0
[ARRIVAL] t=00377 ARRIVAL +1 | queue=971 | rejected_total=0
[ARRIVAL] t=00382 ARRIVAL +1 | queue=970 | rejected_total=0
[ARRIVAL] t=00384 ARRIVAL +2 | queue=971 | rejected_total=0
[ARRIVAL] t=00390 ARRIVAL +1 | queue=969 | rejected_total=0
[ARRIVAL] t=00392 ARRIVAL +2 | queue=969 | rejected_total=0
[ARRIVAL] t=00393 ARRIVAL +2 | queue=970 | rejected_total=0
[COMPLETE] t=00400 COMPLETE server=7 | completed=226
[ASSIGN] t=00400 ASSIGN server=7 job=P time=31 | queue=967
[HEARTBEAT] t=00400 queue=967 servers=13 busy=13 completed=226 rejected=0
[ARRIVAL] t=00401 ARRIVAL +2 | queue=969 | rejected_total=0
[ARRIVAL] t=00409 ARRIVAL +1 | queue=968 | rejected_total=0
[ARRIVAL] t=00410 ARRIVAL +2 | queue=968 | rejected_total=0
[ARRIVAL] t=00415 ARRIVAL +2 | queue=967 | rejected_total=0
[ARRIVAL] t=00416 ARRIVAL +1 | queue=967 | rejected_total=0
[ARRIVAL] t=00418 ARRIVAL +1 | queue=965 | rejected_total=0
[ARRIVAL] t=00421 ARRIVAL +1 | queue=965 | rejected_total=0
[ARRIVAL] t=00422 ARRIVAL +1 | queue=965 | rejected_total=0
[ARRIVAL] t=00424 ARRIVAL +1 | queue=965 | rejected_total=0
[ARRIVAL] t=00427 ARRIVAL +2 | queue=965 | rejected_total=0
[ARRIVAL] t=00429 ARRIVAL +2 | queue=967 | rejected_total=0
[ARRIVAL] t=00433 ARRIVAL +2 | queue=966 | rejected_total=0
[ARRIVAL] t=00438 ARRIVAL +1 | queue=964 | rejected_total=0
[ARRIVAL] t=00439 ARRIVAL +1 | queue=965 | rejected_total=0
[ARRIVAL] t=00440 ARRIVAL +2 | queue=966 | rejected_total=0
[ARRIVAL] t=00441 ARRIVAL +2 | queue=968 | rejected_total=0
[ARRIVAL] t=00443 ARRIVAL +2 | queue=969 | rejected_total=0
[ARRIVAL] t=00451 ARRIVAL +1 | queue=964 | rejected_total=0
[ARRIVAL] t=00455 ARRIVAL +1 | queue=963 | rejected_total=0
[ARRIVAL] t=00462 ARRIVAL +2 | queue=961 | rejected_total=0
[ARRIVAL] t=00467 ARRIVAL +1 | queue=958 | rejected_total=0
[ARRIVAL] t=00468 ARRIVAL +2 | queue=960 | rejected_total=0
[ARRIVAL] t=00469 ARRIVAL +1 | queue=960 | rejected_total=0
[ARRIVAL] t=00470 ARRIVAL +2 | queue=962 | rejected_total=0
[ARRIVAL] t=00475 ARRIVAL +1 | queue=961 | rejected_total=0
[ARRIVAL] t=00479 ARRIVAL +2 | queue=960 | rejected_total=0
[ARRIVAL] t=00481 ARRIVAL +2 | queue=960 | rejected_total=0
[ARRIVAL] t=00489 ARRIVAL +1 | queue=958 | rejected_total=0
[ARRIVAL] t=00491 ARRIVAL +1 | queue=959 | rejected_total=0
[ARRIVAL] t=00495 ARRIVAL +2 | queue=959 | rejected_total=0
[ARRIVAL] t=00496 ARRIVAL +1 | queue=959 | rejected_total=0
[HEARTBEAT] t=00500 queue=958 servers=13 busy=13 completed=281 rejected=0
[ARRIVAL] t=00501 ARRIVAL +2 | queue=959 | rejected_total=0
[ARRIVAL] t=00502 ARRIVAL +2 | queue=961 | rejected_total=0
[ARRIVAL] t=00512 ARRIVAL +2 | queue=957 | rejected_total=0
[ARRIVAL] t=00520 ARRIVAL +2 | queue=953 | rejected_total=0
[ARRIVAL] t=00522 ARRIVAL +1 | queue=953 | rejected_total=0
[ARRIVAL] t=00524 ARRIVAL +1 | queue=953 | rejected_total=0
[ARRIVAL] t=00527 ARRIVAL +1 | queue=953 | rejected_total=0
[ARRIVAL] t=00528 ARRIVAL +2 | queue=954 | rejected_total=0
[ARRIVAL] t=00531 ARRIVAL +1 | queue=955 | rejected_total=0
[ARRIVAL] t=00532 ARRIVAL +1 | queue=956 | rejected_total=0
[ARRIVAL] t=00535 ARRIVAL +1 | queue=954 | rejected_total=0
[ARRIVAL] t=00545 ARRIVAL +1 | queue=948 | rejected_total=0
[ARRIVAL] t=00550 ARRIVAL +2 | queue=947 | rejected_total=0
[ARRIVAL] t=00552 ARRIVAL +1 | queue=946 | rejected_total=0
[ARRIVAL] t=00553 ARRIVAL +2 | queue=948 | rejected_total=0
[ARRIVAL] t=00559 ARRIVAL +2 | queue=946 | rejected_total=0
[ARRIVAL] t=00567 ARRIVAL +1 | queue=943 | rejected_total=0
[ARRIVAL] t=00569 ARRIVAL +1 | queue=943 | rejected_total=0
[ARRIVAL] t=00570 ARRIVAL +1 | queue=944 | rejected_total=0
[ARRIVAL] t=00579 ARRIVAL +2 | queue=940 | rejected_total=0
[ARRIVAL] t=00583 ARRIVAL +2 | queue=940 | rejected_total=0
[ARRIVAL] t=00585 ARRIVAL +2 | queue=942 | rejected_total=0
[ARRIVAL] t=00587 ARRIVAL +1 | queue=939 | rejected_total=0
[ARRIVAL] t=00589 ARRIVAL +1 | queue=938 | rejected_total=0
[ARRIVAL] t=00594 ARRIVAL +1 | queue=938 | rejected_total=0
[ARRIVAL] t=00599 ARRIVAL +1 | queue=939 | rejected_total=0
[HEARTBEAT] t=00600 queue=939 servers=13 busy=13 completed=337 rejected=0
[ARRIVAL] t=00601 ARRIVAL +1 | queue=940 | rejected_total=0
[ARRIVAL] t=00608 ARRIVAL +2 | queue=935 | rejected_total=0
[ARRIVAL] t=00613 ARRIVAL +1 | queue=933 | rejected_total=0
[ARRIVAL] t=00614 ARRIVAL +1 | queue=934 | rejected_total=0
[ARRIVAL] t=00616 ARRIVAL +2 | queue=934 | rejected_total=0
[ARRIVAL] t=00617 ARRIVAL +1 | queue=933 | rejected_total=0
[ARRIVAL] t=00621 ARRIVAL +1 | queue=932 | rejected_total=0
[ARRIVAL] t=00625 ARRIVAL +1 | queue=932 | rejected_total=0
[ARRIVAL] t=00626 ARRIVAL +2 | queue=933 | rejected_total=0
[ARRIVAL] t=00627 ARRIVAL +2 | queue=935 | rejected_total=0
[ARRIVAL] t=00629 ARRIVAL +1 | queue=936 | rejected_total=0
[ARRIVAL] t=00633 ARRIVAL +2 | queue=937 | rejected_total=0
[ARRIVAL] t=00635 ARRIVAL +1 | queue=935 | rejected_total=0
[ARRIVAL] t=00636 ARRIVAL +1 | queue=936 | rejected_total=0
[ARRIVAL] t=00639 ARRIVAL +2 | queue=935 | rejected_total=0
[ARRIVAL] t=00643 ARRIVAL +1 | queue=933 | rejected_total=0
[ARRIVAL] t=00652 ARRIVAL +1 | queue=929 | rejected_total=0
[ARRIVAL] t=00654 ARRIVAL +2 | queue=930 | rejected_total=0
[ARRIVAL] t=00655 ARRIVAL +1 | queue=930 | rejected_total=0
[ARRIVAL] t=00660 ARRIVAL +2 | queue=929 | rejected_total=0
[ARRIVAL] t=00664 ARRIVAL +2 | queue=928 | rejected_total=0
[ARRIVAL] t=00667 ARRIVAL +2 | queue=930 | rejected_total=0
[ARRIVAL] t=00668 ARRIVAL +2 | queue=930 | rejected_total=0
[ARRIVAL] t=00671 ARRIVAL +1 | queue=928 | rejected_total=0
[ARRIVAL] t=00675 ARRIVAL +1 | queue=926 | rejected_total=0
[ARRIVAL] t=00677 ARRIVAL +1 | queue=927 | rejected_total=0
[ARRIVAL] t=00681 ARRIVAL +2 | queue=926 | rejected_total=0
[ARRIVAL] t=00691 ARRIVAL +1 | queue=921 | rejected_total=0
[ARRIVAL] t=00692 ARRIVAL +2 | queue=923 | rejected_total=0
[ARRIVAL] t=00698 ARRIVAL +2 | queue=925 | rejected_total=0
[COMPLETE] t=00700 COMPLETE server=0 | completed=396
[ASSIGN] t=00700 ASSIGN server=0 job=P time=22 | queue=924
[HEARTBEAT] t=00700 queue=924 servers=13 busy=13 completed=396 rejected=0
[ARRIVAL] t=00704 ARRIVAL +1 | queue=922 | rejected_total=0
[ARRIVAL] t=00706 ARRIVAL +2 | queue=923 | rejected_total=0
[ARRIVAL] t=00709 ARRIVAL +1 | queue=922 | rejected_total=0
[ARRIVAL] t=00711 ARRIVAL +1 | queue=923 | rejected_total=0
[ARRIVAL] t=00717 ARRIVAL +1 | queue=921 | rejected_total=0
[ARRIVAL] t=00720 ARRIVAL +2 | queue=922 | rejected_total=0
[ARRIVAL] t=00721 ARRIVAL +1 | queue=922 | rejected_total=0
[ARRIVAL] t=00727 ARRIVAL +2 | queue=919 | rejected_total=0
[ARRIVAL] t=00729 ARRIVAL +1 | queue=918 | rejected_total=0
[ARRIVAL] t=00730 ARRIVAL +1 | queue=919 | rejected_total=0
[ARRIVAL] t=00737 ARRIVAL +1 | queue=918 | rejected_total=0
[ARRIVAL] t=00743 ARRIVAL +2 | queue=917 | rejected_total=0
[ARRIVAL] t=00744 ARRIVAL +2 | queue=918 | rejected_total=0
[ARRIVAL] t=00747 ARRIVAL +2 | queue=918 | rejected_total=0
[ARRIVAL] t=00748 ARRIVAL +1 | queue=919 | rejected_total=0
[ARRIVAL] t=00752 ARRIVAL +2 | queue=919 | rejected_total=0
[ARRIVAL] t=00755 ARRIVAL +2 | queue=919 | rejected_total=0
[ARRIVAL] t=00757 ARRIVAL +2 | queue=918 | rejected_total=0
[ARRIVAL] t=00758 ARRIVAL +2 | queue=920 | rejected_total=0
[ARRIVAL] t=00762 ARRIVAL +1 | queue=921 | rejected_total=0
[ARRIVAL] t=00767 ARRIVAL +2 | queue=919 | rejected_total=0
[ARRIVAL] t=00769 ARRIVAL +1 | queue=918 | rejected_total=0
[ARRIVAL] t=00770 ARRIVAL +1 | queue=917 | rejected_total=0
[ARRIVAL] t=00782 ARRIVAL +2 | queue=915 | rejected_total=0
[ARRIVAL] t=00786 ARRIVAL +2 | queue=912 | rejected_total=0
[ARRIVAL] t=00789 ARRIVAL +1 | queue=913 | rejected_total=0
[ARRIVAL] t=00796 ARRIVAL +1 | queue=908 | rejected_total=0
[ARRIVAL] t=00799 ARRIVAL +1 | queue=907 | rejected_total=0
[HEARTBEAT] t=00800 queue=907 servers=13 busy=13 completed=454 rejected=0
[ARRIVAL] t=00801 ARRIVAL +1 | queue=908 | rejected_total=0
[ARRIVAL] t=00804 ARRIVAL +1 | queue=907 | rejected_total=0
[ARRIVAL] t=00805 ARRIVAL +2 | queue=909 | rejected_total=0
[ARRIVAL] t=00820 ARRIVAL +1 | queue=905 | rejected_total=0
[ARRIVAL] t=00821 ARRIVAL +1 | queue=906 | rejected_total=0
[ARRIVAL] t=00823 ARRIVAL +2 | queue=906 | rejected_total=0
[ARRIVAL] t=00825 ARRIVAL +2 | queue=906 | rejected_total=0
[ARRIVAL] t=00829 ARRIVAL +2 | queue=905 | rejected_total=0
[ARRIVAL] t=00836 ARRIVAL +1 | queue=904 | rejected_total=0
[ARRIVAL] t=00845 ARRIVAL +2 | queue=903 | rejected_total=0
[ARRIVAL] t=00847 ARRIVAL +1 | queue=902 | rejected_total=0
[ARRIVAL] t=00852 ARRIVAL +1 | queue=900 | rejected_total=0
[ARRIVAL] t=00855 ARRIVAL +2 | queue=900 | rejected_total=0
[ARRIVAL] t=00858 ARRIVAL +1 | queue=901 | rejected_total=0
[ARRIVAL] t=00860 ARRIVAL +1 | queue=901 | rejected_total=0
[ARRIVAL] t=00865 ARRIVAL +1 | queue=898 | rejected_total=0
[ARRIVAL] t=00866 ARRIVAL +2 | queue=900 | rejected_total=0
[ARRIVAL] t=00868 ARRIVAL +2 | queue=901 | rejected_total=0
[ARRIVAL] t=00874 ARRIVAL +2 | queue=901 | rejected_total=0
[ARRIVAL] t=00875 ARRIVAL +2 | queue=900 | rejected_total=0
[ARRIVAL] t=00876 ARRIVAL +2 | queue=902 | rejected_total=0
[ARRIVAL] t=00877 ARRIVAL +1 | queue=903 | rejected_total=0
[ARRIVAL] t=00880 ARRIVAL +2 | queue=904 | rejected_total=0
[ARRIVAL] t=00883 ARRIVAL +2 | queue=904 | rejected_total=0
[ARRIVAL] t=00884 ARRIVAL +1 | queue=905 | rejected_total=0
[ARRIVAL] t=00885 ARRIVAL +2 | queue=907 | rejected_total=0
[ARRIVAL] t=00886 ARRIVAL +2 | queue=909 | rejected_total=0
[ARRIVAL] t=00888 ARRIVAL +2 | queue=910 | rejected_total=0
[ARRIVAL] t=00889 ARRIVAL +1 | queue=910 | rejected_total=0
[ARRIVAL] t=00890 ARRIVAL +2 | queue=912 | rejected_total=0
[ARRIVAL] t=00891 ARRIVAL +1 | queue=911 | rejected_total=0
[ARRIVAL] t=00892 ARRIVAL +2 | queue=913 | rejected_total=0
[ARRIVAL] t=00896 ARRIVAL +1 | queue=913 | rejected_total=0
[ARRIVAL] t=00898 ARRIVAL +2 | queue=913 | rejected_total=0
[COMPLETE] t=00900 COMPLETE server=2 | completed=503
[ASSIGN] t=00900 ASSIGN server=2 job=P time=6 | queue=911
[HEARTBEAT] t=00900 queue=911 servers=13 busy=13 completed=503 rejected=0
[ARRIVAL] t=00902 ARRIVAL +1 | queue=910 | rejected_total=0
[ARRIVAL] t=00905 ARRIVAL +2 | queue=911 | rejected_total=0
[ARRIVAL] t=00915 ARRIVAL +1 | queue=906 | rejected_total=0
[ARRIVAL] t=00922 ARRIVAL +2 | queue=903 | rejected_total=0
[ARRIVAL] t=00926 ARRIVAL +2 | queue=904 | rejected_total=0
[ARRIVAL] t=00927 ARRIVAL +1 | queue=905 | rejected_total=0
[ARRIVAL] t=00931 ARRIVAL +1 | queue=903 | rejected_total=0
[ARRIVAL] t=00932 ARRIVAL +1 | queue=903 | rejected_total=0
[ARRIVAL] t=00938 ARRIVAL +1 | queue=902 | rejected_total=0
[ARRIVAL] t=00943 ARRIVAL +1 | queue=900 | rejected_total=0
[ARRIVAL] t=00966 ARRIVAL +2 | queue=888 | rejected_total=0
[ARRIVAL] t=00967 ARRIVAL +2 | queue=890 | rejected_total=0
[ARRIVAL] t=00978 ARRIVAL +2 | queue=885 | rejected_total=0
[ARRIVAL] t=00981 ARRIVAL +1 | queue=880 | rejected_total=0
[ARRIVAL] t=00985 ARRIVAL +2 | queue=880 | rejected_total=0
[ARRIVAL] t=00986 ARRIVAL +1 | queue=880 | rejected_total=0
[ARRIVAL] t=00991 ARRIVAL +1 | queue=880 | rejected_total=0
[ARRIVAL] t=00992 ARRIVAL +2 | queue=881 | rejected_total=0
[HEARTBEAT] t=01000 queue=876 servers=13 busy=13 completed=564 rejected=0
[ARRIVAL] t=01003 ARRIVAL +1 | queue=874 | rejected_total=0
[ARRIVAL] t=01006 ARRIVAL +1 | queue=874 | rejected_total=0
[ARRIVAL] t=01009 ARRIVAL +2 | queue=875 | rejected_total=0
[ARRIVAL] t=01012 ARRIVAL +2 | queue=875 | rejected_total=0
[ARRIVAL] t=01021 ARRIVAL +2 | queue=873 | rejected_total=0
[ARRIVAL] t=01026 ARRIVAL +1 | queue=869 | rejected_total=0
[ARRIVAL] t=01027 ARRIVAL +1 | queue=869 | rejected_total=0
[ARRIVAL] t=01028 ARRIVAL +1 | queue=868 | rejected_total=0
[ARRIVAL] t=01033 ARRIVAL +1 | queue=868 | rejected_total=0
[ARRIVAL] t=01039 ARRIVAL +1 | queue=867 | rejected_total=0
[ARRIVAL] t=01045 ARRIVAL +1 | queue=864 | rejected_total=0
[ARRIVAL] t=01046 ARRIVAL +2 | queue=863 | rejected_total=0
[ARRIVAL] t=01047 ARRIVAL +2 | queue=864 | rejected_total=0
[ARRIVAL] t=01048 ARRIVAL +2 | queue=866 | rejected_total=0
[ARRIVAL] t=01050 ARRIVAL +2 | queue=868 | rejected_total=0
[ARRIVAL] t=01051 ARRIVAL +1 | queue=869 | rejected_total=0
[ARRIVAL] t=01052 ARRIVAL +2 | queue=871 | rejected_total=0
